farm_size_hectares,state_factor,soil_organic_carbon_pct,baseline_yield_ton_per_hectare,practice_score,target_co2e
2.84,0.923,1.23,1.09,1.149,2.729
0.64,1.016,0.5,2.62,0.496,0.252
1.56,0.959,1.44,2.33,1.829,2.624
1.76,0.915,0.33,2.89,2.3,3.632
3.75,1.041,1.28,3.64,2.204,11.667
0.6,0.927,0.49,3.34,1.472,0.855
4.0,1.038,0.55,3.13,1.821,8.184
4.6,1.074,0.46,1.09,0.993,4.169
5.29,0.971,1.37,1.27,1.712,8.045
1.01,1.039,1.58,3.1,0.63,0.965
4.41,0.962,0.94,2.3,1.361,4.996
4.75,1.048,0.46,4.36,1.608,11.003
4.04,0.978,1.4,4.38,0.913,5.457
3.19,0.987,0.95,3.56,0.91,3.85
4.65,0.916,1.62,1.85,1.283,5.12
2.39,0.905,1.58,1.64,0.803,1.716
2.2,1.058,1.35,1.97,0.419,1.047
0.93,1.03,1.03,3.65,1.712,2.253
2.95,1.043,0.44,1.78,1.714,4.335
3.41,0.985,1.1,2.49,1.817,5.562
4.01,0.949,0.68,1.42,0.766,2.354
3.18,1.037,0.58,1.76,1.32,3.765
5.38,0.994,0.72,1.35,0.769,3.429
1.4,0.903,1.1,1.96,2.251,2.546
3.99,0.923,1.6,2.72,2.058,7.998
2.85,0.979,0.58,1.18,2.188,5.159
4.61,0.972,0.41,3.2,0.502,2.371
3.31,0.955,1.79,1.41,1.852,5.56
4.45,0.941,1.08,2.58,1.241,5.081
5.45,0.955,1.23,3.13,1.806,11.175
1.54,0.938,1.29,1.55,0.73,0.799
0.51,0.981,1.19,2.02,0.84,0.451
4.01,0.982,1.33,4.23,1.897,11.048
3.81,1.068,0.94,2.91,1.631,7.19
4.63,0.913,0.55,2.08,1.823,6.529
1.94,0.922,1.33,3.45,2.191,5.106
2.97,0.914,0.36,2.51,1.012,2.291
0.96,1.073,1.55,3.01,2.206,2.813
3.86,0.949,0.36,3.65,1.294,6.029
5.08,0.933,1.18,3.22,1.334,7.44
2.24,0.96,1.31,4.0,1.027,3.317
1.94,1.07,1.52,2.93,1.264,2.885
2.12,1.075,0.91,2.8,2.277,5.341
3.21,0.974,0.58,2.27,1.837,4.906
4.3,0.937,1.12,4.25,1.232,7.247
1.11,1.075,1.21,1.84,0.701,0.768
3.26,0.917,1.79,4.2,1.277,5.713
4.66,0.99,1.37,2.78,0.92,4.592
5.4,0.944,1.13,2.34,2.152,9.771
4.9,1.056,0.71,3.77,1.188,8.43
3.04,1.048,0.72,2.04,1.515,4.319
2.95,0.927,1.11,2.21,1.449,3.538
2.78,0.958,0.58,3.44,1.486,4.705
4.38,0.908,1.42,3.47,1.942,10.161
3.82,1.048,1.77,2.73,0.47,2.016
3.45,1.057,1.61,2.54,1.399,4.999
4.11,0.974,1.28,1.54,1.292,4.836
2.19,1.025,1.27,3.98,2.019,6.769
2.4,0.957,1.38,3.66,2.058,6.395
0.84,1.014,1.68,4.49,1.819,2.329
0.99,1.014,1.61,2.55,1.719,1.848
0.73,1.043,0.74,2.31,0.677,0.454
3.33,1.043,0.55,1.28,2.055,6.067
1.7,1.064,0.51,2.61,0.883,1.372
0.55,1.045,1.65,3.37,0.7,0.506
2.23,1.006,1.26,2.49,0.875,1.959
1.5,0.969,1.02,1.83,1.487,1.932
5.46,0.953,1.77,3.3,0.922,6.235
3.93,1.034,0.37,3.12,1.344,6.036
1.93,1.044,1.21,2.23,1.61,2.953
3.89,1.03,1.29,3.93,1.594,9.519
3.73,0.956,0.96,3.03,1.791,6.922
1.98,1.035,0.56,1.46,1.425,2.637
3.15,1.064,1.55,1.9,1.967,6.085
4.53,1.034,0.81,1.4,2.229,8.9
5.33,1.055,1.39,4.43,2.238,18.744
2.33,1.042,0.32,2.88,1.264,3.103
3.86,1.005,1.53,4.29,0.606,3.428
0.63,1.059,1.14,4.2,0.821,0.636
4.62,1.064,0.75,2.43,0.666,3.011
2.02,0.989,0.45,4.11,0.658,1.769
3.85,1.034,1.72,2.47,1.81,6.828
2.57,0.918,1.03,2.43,2.208,4.486
2.35,0.98,1.73,3.99,0.589,2.135
3.22,1.076,0.84,2.39,0.761,2.15
4.74,0.982,1.29,3.25,1.535,8.567
4.43,0.944,0.49,2.98,0.53,2.405
1.54,0.939,1.6,2.15,0.68,1.057
0.51,1.055,0.52,1.45,0.876,0.279
3.81,0.905,0.32,3.76,0.852,3.736
1.37,0.909,1.41,2.84,1.817,2.436
4.39,0.992,0.46,2.76,2.196,9.039
4.42,1.056,1.08,2.6,2.232,9.846
2.89,0.972,1.33,2.72,2.128,5.987
0.9,1.009,0.4,1.96,1.603,1.229
2.13,1.079,1.1,2.59,1.55,3.269
4.01,1.054,1.28,3.69,1.77,10.277
2.76,0.941,0.81,2.59,1.19,2.739
2.63,1.02,0.86,1.53,2.154,4.864
4.66,0.917,0.44,3.59,1.942,10.388
3.43,1.001,0.79,1.43,1.072,3.237
4.25,1.056,1.38,4.39,1.541,10.178
3.39,0.938,1.29,1.78,0.606,1.865
2.34,1.037,1.16,3.83,2.006,7.106
4.59,1.01,1.26,1.09,2.165,9.16
1.84,0.932,1.35,2.08,1.046,1.451
4.85,1.002,0.9,1.5,1.603,6.624
4.23,0.939,0.93,2.19,1.103,3.911
4.38,1.002,0.43,1.18,0.699,2.602
3.87,0.949,1.29,2.7,1.24,4.546
4.27,0.92,0.94,1.99,1.689,5.802
3.84,0.908,0.89,3.1,0.415,1.557
1.56,0.925,0.68,2.15,0.415,0.601
1.38,0.968,1.36,2.75,1.983,2.869
0.86,1.055,0.36,1.07,2.15,1.747
3.38,1.003,1.36,2.46,0.619,1.782
2.12,1.044,1.23,3.91,2.148,6.792
4.72,0.944,1.18,2.83,1.152,5.345
2.2,0.96,0.55,2.79,0.617,1.282
5.03,0.963,1.39,3.87,1.949,13.776
1.23,0.936,1.2,3.66,1.645,2.472
4.36,0.989,1.43,3.66,1.253,7.687
3.32,1.014,1.24,4.02,1.592,7.706
0.84,0.98,0.75,1.96,0.507,0.362
2.05,0.981,0.39,3.91,0.546,1.614
4.78,1.011,1.06,2.62,1.453,6.887
4.98,0.981,1.51,3.28,1.011,6.207
1.25,0.911,0.46,4.15,1.053,1.708
3.02,0.931,0.67,2.53,1.235,3.133
1.29,0.967,0.72,2.43,1.043,1.165
4.45,1.017,0.4,1.33,1.689,6.282
4.12,1.018,1.66,4.06,1.033,6.597
1.21,0.963,1.75,3.44,1.145,1.832
5.19,0.956,0.87,3.77,1.945,13.244
4.64,1.033,1.33,2.84,1.627,8.337
2.31,0.965,0.57,1.75,2.201,4.144
1.63,0.925,0.42,3.96,0.592,1.307
4.68,1.059,0.36,2.18,1.856,7.491
2.38,0.929,1.55,3.7,1.937,5.98
2.69,0.974,1.31,1.83,1.244,2.872
4.24,0.981,1.1,2.08,1.936,7.14
4.68,0.966,1.72,4.45,1.277,8.717
2.41,0.995,1.75,3.86,1.922,6.838
1.75,1.015,1.61,2.94,0.595,1.327
4.76,0.951,1.44,1.95,2.12,8.656
2.69,1.07,0.63,2.58,1.064,2.629
0.77,0.99,0.65,4.48,1.112,1.004
5.15,1.051,1.27,3.77,0.661,4.99
4.65,1.025,0.51,3.47,1.252,7.076
0.9,0.946,1.55,2.92,1.782,1.716
1.06,0.952,0.75,1.17,1.198,1.145
2.79,0.92,1.66,3.09,0.431,1.334
1.71,0.926,0.94,3.15,0.857,1.529
3.82,0.915,1.76,1.24,1.4,4.606
5.44,1.0,0.89,2.65,1.608,8.588
1.77,0.903,1.48,2.21,1.793,2.678
4.36,1.032,0.8,1.16,1.437,5.699
1.38,1.04,1.0,3.43,1.6,3.0
0.82,1.04,0.99,2.03,0.483,0.254
0.71,1.068,1.07,4.46,1.432,1.474
4.27,0.934,0.84,3.73,2.045,10.932
1.12,0.966,1.63,3.6,2.1,3.13
5.37,0.989,1.05,4.24,1.387,10.69
4.14,0.914,1.2,3.88,1.436,7.807
0.9,1.019,0.76,3.11,1.21,1.306
2.26,0.908,1.61,2.23,2.296,4.295
5.4,1.071,0.41,3.23,1.09,7.174
3.9,1.072,0.51,3.13,1.884,8.47
0.84,1.04,0.85,2.34,1.478,1.159
3.9,1.071,0.86,3.67,1.49,8.279
2.49,1.017,0.67,1.4,1.798,3.886
2.43,1.001,0.69,1.91,1.248,2.775
1.93,1.065,1.04,1.43,2.02,3.65
4.99,0.98,0.43,3.39,2.006,11.497
2.24,0.912,1.11,4.12,2.018,6.03
5.14,1.015,1.49,2.78,0.631,3.397
1.19,1.042,0.34,2.94,1.101,1.493
3.26,1.01,0.43,2.08,2.299,6.395
3.13,1.038,1.54,1.26,2.248,6.794
2.75,1.022,0.82,4.07,1.882,7.49
1.41,1.074,0.95,4.19,0.505,0.953
1.27,0.93,0.78,3.48,1.057,1.72
4.97,1.052,0.68,3.22,1.447,8.538
2.01,0.996,1.05,1.59,2.189,3.749
3.79,1.03,1.21,3.95,1.471,8.485
0.64,0.908,1.26,3.02,1.637,1.174
2.58,1.015,1.05,3.2,0.95,3.097
2.91,1.045,1.33,2.04,0.539,1.327
2.7,0.987,0.61,3.12,0.994,3.002
4.17,1.055,1.76,1.46,1.104,4.592
2.1,0.984,0.7,1.87,0.584,0.957
2.42,1.011,0.67,4.03,0.703,2.324
3.39,0.956,1.44,2.74,1.378,4.666
2.04,0.904,1.72,2.77,2.237,4.362
2.26,0.909,1.04,4.09,1.643,4.834
3.18,1.052,0.95,4.09,1.782,8.581
2.33,0.972,1.16,1.68,1.451,2.78
3.02,1.038,0.72,4.46,1.693,7.259
5.38,0.971,1.49,2.19,2.184,10.579
1.5,0.992,1.05,1.16,0.66,0.808
2.87,0.982,1.21,2.8,1.023,3.057
1.31,1.078,1.41,2.05,1.039,1.457
3.16,1.028,0.75,3.86,1.1,5.005
5.4,1.005,1.5,3.54,1.707,12.401
2.87,1.074,1.47,3.72,1.498,6.647
3.42,0.931,1.24,3.17,1.998,7.429
3.9,0.906,1.72,1.38,0.436,1.377
1.26,1.024,0.92,3.71,2.149,3.879
4.18,0.911,0.51,1.73,1.018,3.318
3.13,0.956,0.56,4.19,1.05,4.261
4.36,1.03,1.26,3.43,1.559,8.902
1.73,1.0,0.64,4.41,0.965,2.233
1.54,1.027,0.78,2.22,2.174,3.072
1.87,0.922,1.31,2.33,2.262,3.643
5.27,1.045,0.74,2.01,1.757,8.258
2.71,0.946,1.02,1.71,1.423,3.372
3.98,0.925,1.22,3.05,0.861,3.677
3.16,1.015,0.38,2.45,1.763,4.65
4.35,0.901,1.13,4.25,1.173,6.809
4.89,0.986,0.6,4.37,1.01,6.763
5.04,0.916,1.16,2.87,1.774,8.901
5.07,0.932,1.62,1.62,2.147,9.61
2.48,0.989,1.7,4.37,2.159,8.19
0.55,1.002,0.46,4.44,0.941,0.881
3.22,0.989,1.71,3.98,1.289,6.138
1.06,0.929,0.99,1.9,0.754,0.738
4.45,1.002,1.44,1.61,2.027,8.415
4.63,0.993,0.43,3.34,0.751,3.88
2.12,0.945,0.69,1.82,1.832,3.302
2.01,1.03,0.32,3.29,1.716,3.863
1.09,0.955,0.91,2.76,2.101,2.268
2.05,0.921,1.67,2.03,1.568,2.663
1.17,0.928,1.42,3.12,1.19,1.552
2.85,0.997,1.3,1.76,0.87,2.326
4.87,0.915,0.97,3.46,0.548,3.113
0.81,0.999,1.06,3.0,0.685,0.551
3.1,0.921,0.61,3.04,0.573,1.763
4.54,0.982,1.07,2.6,0.51,2.168
4.53,1.03,0.89,3.86,1.817,11.907
0.73,0.962,0.4,4.48,2.176,1.911
5.17,0.906,0.91,3.69,1.855,11.832
3.73,0.976,1.79,2.34,2.052,7.192
2.38,1.023,1.29,2.89,1.642,4.293
1.39,0.997,1.09,3.55,0.823,1.318
0.61,0.954,1.31,2.91,1.411,1.017
1.74,0.962,0.71,4.28,1.778,4.004
4.55,0.975,1.45,4.09,0.43,2.734
1.0,0.906,1.2,3.46,0.492,0.662
2.51,0.942,0.63,4.02,0.507,1.658
1.95,1.047,1.4,2.12,1.536,2.922
2.1,0.954,0.51,3.31,0.82,1.833
0.8,1.071,1.62,4.19,1.589,2.03
2.98,1.075,1.71,3.35,1.893,7.864
2.58,0.927,0.86,3.64,1.3,4.223
2.0,1.027,1.51,4.2,1.469,4.683
3.29,0.924,0.66,1.71,1.629,4.375
4.74,0.917,1.39,1.67,0.91,3.667
3.51,1.057,0.58,3.67,1.776,8.549
2.9,1.057,0.8,4.35,0.429,2.004
5.31,0.921,1.8,2.68,0.861,4.476
1.52,1.065,1.13,3.71,1.123,2.514
2.3,0.947,1.07,2.74,0.587,1.466
2.85,1.051,1.67,2.3,1.186,3.339
1.61,0.926,0.69,4.27,1.5,3.078
1.26,0.959,0.87,3.92,1.349,2.359
3.92,0.946,1.53,4.38,1.619,8.996
1.34,1.043,0.55,3.52,1.328,2.448
3.21,1.016,0.39,1.12,2.009,5.606
3.84,1.038,0.92,3.95,0.84,4.828
0.55,0.991,0.86,3.16,1.667,1.081
2.92,0.988,0.31,2.93,0.423,1.239
1.87,1.076,0.33,3.85,1.681,4.594
5.05,0.919,0.44,1.52,0.765,2.975
4.58,0.948,0.9,2.31,1.171,4.457
5.45,0.941,1.33,3.97,1.642,12.532
4.3,0.917,0.87,2.93,0.507,1.946
1.36,0.99,0.95,3.75,1.475,2.847
0.98,0.995,0.36,1.74,2.049,1.795
2.88,0.908,0.41,4.24,2.109,7.486
0.66,1.067,0.77,4.37,1.515,1.585
4.06,0.972,0.42,1.57,0.857,2.94
2.45,1.061,0.8,3.64,0.666,2.444
4.12,0.99,1.76,1.19,1.23,4.842
2.2,1.038,1.73,2.39,1.87,3.838
1.87,1.079,1.04,2.25,2.188,3.875
3.9,1.019,0.43,3.17,1.916,8.469
0.91,0.928,1.37,3.22,1.805,1.794
1.03,0.901,0.76,2.26,0.913,0.597
1.44,0.981,1.13,2.43,0.45,0.521
0.97,1.008,0.79,2.35,0.955,0.766
0.92,1.062,1.66,4.42,1.487,2.083
2.4,0.925,0.75,2.73,0.52,1.106
2.61,0.987,0.42,1.88,0.869,1.911
3.47,0.935,0.46,2.07,2.203,5.921
3.6,1.045,0.79,2.17,1.949,6.459
5.37,0.925,0.78,4.32,0.782,5.377
5.32,1.074,0.74,3.43,1.333,9.38
1.71,0.968,1.52,2.38,0.616,0.963
3.46,0.998,1.32,2.93,2.211,8.427
4.04,0.979,0.74,3.42,1.956,9.578
2.55,0.99,1.25,1.85,1.651,3.829
4.45,0.913,1.79,2.68,1.162,4.975
5.1,1.025,1.12,3.77,1.083,8.054
3.18,1.015,0.43,3.69,1.649,6.776
3.73,0.908,1.78,3.37,1.159,5.285
5.33,0.977,0.32,1.91,1.37,5.897
3.4,1.004,0.97,2.37,1.867,5.625
3.0,0.962,0.34,1.37,1.19,3.007
1.08,1.069,0.51,2.09,1.265,1.122
2.91,0.986,0.96,3.44,1.006,3.556
4.55,0.921,1.57,3.27,1.687,8.795
5.42,0.944,0.56,1.56,1.464,6.493
1.66,0.973,0.58,3.24,1.221,2.084
3.57,0.936,1.19,2.36,1.739,5.096
4.26,1.046,0.39,1.36,2.057,7.506
2.13,0.982,0.69,4.02,1.403,4.128
3.48,1.01,1.18,2.22,2.006,6.348
